iter	Logloss
0	0.6916657186
1	0.6897747576
2	0.6879190701
3	0.68660945
4	0.6849916549
5	0.6833840757
6	0.6822631121
7	0.6812002692
8	0.6799664873
9	0.6787690452
10	0.6777490454
11	0.6764985797
12	0.6753757733
13	0.6742455557
14	0.6734157246
15	0.6722748411
16	0.6714572629
17	0.6706152917
18	0.6700967733
19	0.66922002
20	0.6683292619
21	0.6675791846
22	0.6669887239
23	0.6660132957
24	0.6653097683
25	0.6645421662
26	0.6639243489
27	0.6634003886
28	0.6626294519
29	0.6620093621
30	0.661144623
31	0.6602684021
32	0.659388881
33	0.6588631879
34	0.6582911472
35	0.6575442222
36	0.6570756171
37	0.6564371576
38	0.6559434666
39	0.655274808
40	0.6549128161
41	0.6544117256
42	0.6537235381
43	0.65332986
44	0.652832448
45	0.652498228
46	0.6523811598
47	0.6520316333
48	0.651902771
49	0.6512355057
50	0.651008381
51	0.6507826573
52	0.6499689859
53	0.6495498552
54	0.6491599153
55	0.6488574704
56	0.6484871868
57	0.6481965753
58	0.6479051309
59	0.647532985
60	0.6469872547
61	0.6467730924
62	0.6466259638
63	0.6462704239
64	0.6460154878
65	0.6453028517
66	0.6450641146
67	0.6447467563
68	0.6444684584
69	0.6442000189
70	0.6440083895
71	0.6433893702
72	0.6429145961
73	0.6425470973
74	0.6423805673
75	0.6422699373
76	0.6419696928
77	0.6417756108
78	0.6416660991
79	0.6414264571
80	0.6409992177
81	0.6406592083
82	0.6403345114
83	0.6402849759
84	0.6402161256
85	0.639651104
86	0.6396511017
87	0.6395056362
88	0.6392150285
89	0.6389626899
90	0.6385618167
91	0.6383183573
92	0.6378802493
93	0.6378072995
94	0.6376094476
95	0.6373357537
96	0.6372366159
97	0.6370639612
98	0.6368737381
99	0.6367729803
100	0.63662524
101	0.6364850279
102	0.6363427641
103	0.6361895593
104	0.6361291657
105	0.6361291637
106	0.6360373611
107	0.6357520199
108	0.6357520199
109	0.6356123958
110	0.6355233153
111	0.6355233086
112	0.6352228779
113	0.6351393374
114	0.6350790151
115	0.6350790094
116	0.6350771086
117	0.635075277
118	0.6349886069
119	0.6349886063
120	0.6349247643
121	0.6349006537
122	0.6348312355
123	0.6347159686
124	0.6346163135
125	0.6346070243
126	0.6346070195
127	0.6345643596
128	0.6345642403
129	0.6344363608
130	0.6343404619
131	0.6342279253
132	0.634083701
133	0.6339730933
134	0.6339730925
135	0.6336315684
136	0.6336311464
137	0.6335188243
138	0.633518012
139	0.6332094958
140	0.6332094947
141	0.6331611434
142	0.6331606632
143	0.6330276631
144	0.6329569844
145	0.6329569829
146	0.6326977328
147	0.6325493808
148	0.6324776364
149	0.6324611663
150	0.6324607807
151	0.6324607781
152	0.6324579731
153	0.6324579723
154	0.6324579699
155	0.6323320931
156	0.6321911689
157	0.6321683861
158	0.6321316186
159	0.6320781283
160	0.6320781265
161	0.6320408365
162	0.6320408349
163	0.6319895403
164	0.6318996816
165	0.6317224106
166	0.6317162947
167	0.631716285
168	0.6317088001
169	0.6316584832
170	0.6316184836
171	0.6315698493
172	0.6315698484
173	0.6312461082
174	0.631032092
175	0.6310320913
176	0.6309825317
177	0.6309825317
178	0.6308916836
179	0.6308916831
180	0.6308916627
181	0.6308806119
182	0.6308803055
183	0.6308217404
184	0.6308116975
185	0.6308116973
186	0.6307405802
187	0.6306795137
188	0.6306420217
189	0.6306390605
190	0.6306024363
191	0.6305764469
192	0.6305764463
193	0.630576376
194	0.6305430271
195	0.6304980771
196	0.6303431909
197	0.6303340995
198	0.6303213243
199	0.6301844685
200	0.6301034056
201	0.630069217
202	0.6300480215
203	0.6300024649
204	0.6299530501
205	0.62995305
206	0.6299529069
207	0.6299161641
208	0.6299161636
209	0.6296880695
210	0.6295341845
211	0.6294439172
212	0.6294439167
213	0.6294414717
214	0.6294096643
215	0.6294096639
216	0.6294096638
217	0.6294090365
218	0.6293162982
219	0.6293162978
220	0.6293090228
221	0.6292881035
222	0.6292881031
223	0.6292877552
224	0.6292877548
225	0.6292723445
226	0.6292364729
227	0.6291860383
228	0.6291313832
229	0.6290706161
230	0.6289736386
231	0.6288049399
232	0.6287576848
233	0.6285413438
234	0.6285413435
235	0.6285412068
236	0.6285412043
237	0.6285393045
238	0.6285335916
239	0.6285281142
240	0.6285281141
241	0.628528114
242	0.6284950199
243	0.628409934
244	0.6283637971
245	0.6282518118
246	0.6282249774
247	0.628193302
248	0.6281931927
249	0.6281931924
250	0.6281299936
251	0.6281299934
252	0.6280630717
253	0.6280628867
254	0.627992287
255	0.6279920929
256	0.6279920929
257	0.6279217031
258	0.6278367485
259	0.6278352287
260	0.6278129118
261	0.6277781343
262	0.6277364415
263	0.6277057971
264	0.6276455694
265	0.6276342641
266	0.6276316444
267	0.6276218808
268	0.6276157273
269	0.6276104152
270	0.6274812519
271	0.6274199692
272	0.6274199686
273	0.627419968
274	0.6274199679
275	0.6274078909
276	0.6273560455
277	0.6273437651
278	0.6272954001
279	0.6272709107
280	0.6272709089
281	0.6272501027
282	0.6271437328
283	0.6270878728
284	0.6270864342
285	0.6270621167
286	0.6270621166
287	0.6270621164
288	0.626999671
289	0.6269958228
290	0.6269892407
291	0.6269758847
292	0.6268752079
293	0.6268328831
294	0.6267900887
295	0.6267900881
296	0.6267715933
297	0.6267172395
298	0.6267129346
299	0.6267097634
300	0.626657702
301	0.6266577013
302	0.6266563939
303	0.6266560505
304	0.6266471237
305	0.6264635595
306	0.6264618009
307	0.6264601184
308	0.6264585373
309	0.6264583883
310	0.6264189918
311	0.6264178958
312	0.6264178955
313	0.6263240968
314	0.626320645
315	0.6262964197
316	0.6262674255
317	0.626259403
318	0.6262528378
319	0.6262464018
320	0.6261859662
321	0.6261782763
322	0.6261766544
323	0.626164433
324	0.6261644283
325	0.6261638296
326	0.6261638295
327	0.6261638294
328	0.6261589324
329	0.6261520153
330	0.6261382551
331	0.6261183287
332	0.6260885919
333	0.6260296077
334	0.6260123607
335	0.6260032854
336	0.6260032852
337	0.625823908
338	0.625803057
339	0.6257966108
340	0.6257964902
341	0.625723097
342	0.6257222715
343	0.6256958912
344	0.6256795909
345	0.625679572
346	0.625624409
347	0.6256155514
348	0.6256155512
349	0.6255631054
350	0.6253725609
351	0.6253474209
352	0.6253425008
353	0.6253425006
354	0.6253424958
355	0.6253189242
356	0.6253189241
357	0.6252998218
358	0.6252957047
359	0.6252623983
360	0.6252623983
361	0.6252623983
362	0.6252586892
363	0.6252586892
364	0.6252531781
365	0.6252506736
366	0.6252294584
367	0.6252286666
368	0.6252286666
369	0.6252202587
370	0.6252191703
371	0.6252191702
372	0.6252135654
373	0.6252135469
374	0.6251327895
375	0.624994826
376	0.624986682
377	0.624986574
378	0.624966291
379	0.6248489344
380	0.6248422926
381	0.624842289
382	0.624842289
383	0.6248422889
384	0.6248421413
385	0.6248421413
386	0.6248421413
387	0.624841893
388	0.624841893
389	0.6246848384
390	0.6246581065
391	0.6246328472
392	0.6245787977
393	0.6245178255
394	0.6244406489
395	0.62439685
396	0.6243881395
397	0.6243880377
398	0.6243458464
399	0.6243458463
400	0.6243417593
401	0.6243417593
402	0.6243010481
403	0.6242955805
404	0.6242955805
405	0.6242955804
406	0.6242955803
407	0.6242955802
408	0.6242724999
409	0.6242724963
410	0.6242551735
411	0.6242551734
412	0.6242446611
413	0.6242446611
414	0.6242199888
415	0.6242199887
416	0.6241962675
417	0.6241962675
418	0.6241962674
419	0.6241545662
420	0.6241545661
421	0.6241545661
422	0.6241335514
423	0.6241335513
424	0.6241324978
425	0.624101143
426	0.6240449184
427	0.6240390489
428	0.6240216134
429	0.624021515
430	0.6240213777
431	0.624021364
432	0.6240125119
433	0.6240019017
434	0.6240019016
435	0.6240019016
436	0.6239934738
437	0.6239934738
438	0.6239851797
439	0.62372138
440	0.6237208232
441	0.6237204226
442	0.6236321151
443	0.623531883
444	0.6235075956
445	0.6234457181
446	0.6234457181
447	0.6234153373
